event_id,country,year,program,match_status,unmatched_reason,lots,event_lots,share_of_event_lots
d1543b65c7f3dffe,Brazil,2018,NW,no competition entry,auction program without competition table,5,5,1
d499fbd326fc6ee9,Colombia,2010,COE,matched: process group and rank,NA,21,21,1
d767976e2066de8e,Nicaragua,2005,COE,matched: process group and rank,NA,35,35,1
d9e938f39eb3880a,Peru,2024,COE,matched: process group and rank,NA,16,16,1
da5b8d67ef9fccb3,Nicaragua,2008,COE,matched: process group and rank,NA,25,25,1
da9b1a5c74fd4dd4,Nicaragua,2006,COE,matched: process group and rank,NA,25,25,1
db8d673b53d2c07d,Mexico,2018,COE,matched: process group and rank,NA,32,32,1
db8d673b53d2c07d,Mexico,2018,NW,no competition entry,auction program without competition table,3,3,1
dec3b623fc3b102d,Costa Rica,2016,COE,matched: process group and rank,NA,26,26,1
deeed450e36aab5d,Costa Rica,2022,COE,matched: process group and rank,NA,25,25,1
df2a0030ea37d2c1,Burundi,2015,COE,matched: process group and rank,NA,27,27,1
e027de3eaca1fdbe,Guatemala,2021,COE,matched: process group and rank,NA,31,31,1
e27e0f7c702fa71e,Brazil,2015,COE,matched: process group and rank,NA,32,32,1
e2acf27cd7656ef2,Brazil,2001,COE,matched: process group and rank,NA,18,18,1
e36d63fff8523cfb,Brazil,2004,COE,matched: process group and rank,NA,36,36,1
e38c7393edb1fc36,Guatemala,2002,COE,matched: process group and rank,NA,33,33,1
e3acd98cde143171,Guatemala,2009,COE,matched: process group and rank,NA,23,23,1
e3ee4b83024a8fdc,Colombia,2015,COE,matched: process group and rank,NA,31,31,1
e4999c5ee612d56f,Honduras,2005,COE,matched: process group and rank,NA,41,41,1
e4f222213bccceb2,Thailand,2025,COE,matched: process group and rank,NA,22,22,1
e741c9bf9232ab04,Nicaragua,2011,COE,matched: process group and rank,NA,27,27,1
e79330b9e90b09dc,Mexico,2025,COE,matched: process group and rank,NA,33,33,1
e80af4f8d8bd890c,Indonesia,2021,COE,matched: process group and rank,NA,26,26,1
e91a6326be6cc6dc,Colombia,2008,COE,matched: process group and rank,NA,18,18,1
eb131b841c2d82a2,Nicaragua,2017,COE,matched: process group and rank,NA,28,28,1
eb131b841c2d82a2,Nicaragua,2017,NW,no competition entry,auction program without competition table,4,4,1
eb4956f44a554a3b,Mexico,2013,COE,matched: process group and rank,NA,16,16,1
eba617e4fe8e52b9,El Salvador,2012,COE,matched: process group and rank,NA,28,28,1
ed9a6c81f8e5fb94,Colombia,2022,COE,matched: process group and rank,NA,24,24,1
ef7f110ca8ad65a5,Honduras,2018,COE,matched: process group and rank,NA,41,41,1
ef7f110ca8ad65a5,Honduras,2018,NW,no competition entry,auction program without competition table,1,1,1
efb2f39d90f46af8,Costa Rica,2007,COE,matched: process group and rank,NA,25,25,1
f06207128b447b2a,Peru,2017,COE,matched: process group and rank,NA,24,24,1
f06207128b447b2a,Peru,2017,NW,no competition entry,auction program without competition table,11,11,1
f142488b1549196e,Burundi,2014,COE,matched: process group and rank,NA,27,27,1
f1e54b3b5ca863aa,Colombia,2014,COE,matched: process group and rank,NA,34,34,1
f2c23fa8e29d9daa,Colombia,2020,COE,no competition entry,auction event without competition table,25,25,1
f52a7809bb1fd00e,El Salvador,2021,COE,matched: process group and rank,NA,27,27,1
f57a799e620edb5c,Brazil,2016,COE,matched: process group and rank,NA,23,23,1
f59277b5e64c2ec4,El Salvador,2004,COE,matched: process group and rank,NA,35,35,1
f6b296b9e61cd542,Honduras,2013,COE,matched: process group and rank,NA,22,22,1
f8c00d6b60400117,Brazil,2021,COE,matched: process group and rank,NA,31,31,1
