event_id,event_name,event_type,country,year,program,entries,reported_process,missing_process,coverage_rate
86f5fadc62969c5f,2004,COE,Bolivia,2004,COE,13,0,13,0
8783a594e2c5082b,2014,COE Natural,Brazil,2014,COE,21,21,0,1
88ab413a4b17ecde,2019,COE,Honduras,2019,COE,30,30,0,1
8aabc8f0143025f3,2011,COE,Honduras,2011,COE,33,0,33,0
8b291231c7145e12,2015,COE,Honduras,2015,COE,34,0,34,0
8ba1050b3deba653,2013 North,COE regional,Colombia,2013,COE,20,0,20,0
8df430f321dfebe7,2014,COE,Nicaragua,2014,COE,24,0,24,0
8ec9c5ddcac94e33,Colombia 2021,COE,Colombia,2021,COE,23,23,0,1
8f48007819e94a7e,Guatemala 2022,COE,Guatemala,2022,COE,30,30,0,1
8f910a10a522a6e4,Brazil 2024,COE,Brazil,2024,COE,27,27,0,1
8f910a10a522a6e4,Brazil 2024,COE,Brazil,2024,NW,8,8,0,1
90ce520eb2b1c7b3,2012,COE Pulped Natural,Brazil,2012,COE,24,24,0,1
924c6ccd256e3867,2005 North,COE regional,Colombia,2005,COE,25,0,25,0
932be81913d4d6cc,Ecuador 2022,COE,Ecuador,2022,COE,18,18,0,1
94e0f75eb8b007ec,2019,COE,Guatemala,2019,COE,20,20,0,1
958690440cdbefb5,2002,COE,Nicaragua,2002,COE,23,0,23,0
95f3bb26fec856b9,Nicaragua 2024,COE,Nicaragua,2024,COE,30,30,0,1
96a5d35a9035433e,2012,COE,Mexico,2012,COE,10,0,10,0
97486e2f1c2df951,2012,COE Natural,Brazil,2012,COE,18,18,0,1
977c3d13e69fd1a0,2005 South,COE regional,Colombia,2005,COE,33,0,33,0
9afb42276738b733,Mexico 2022,COE,Mexico,2022,COE,30,30,0,1
9b39103db61369e1,2003,COE,El Salvador,2003,COE,31,0,31,0
9b41db41829ea486,2004,COE,Nicaragua,2004,COE,29,0,29,0
9c4359f85637f806,2015,COE,Mexico,2015,COE,20,0,20,0
9f945028bafe640f,1999,COE Pulped Natural,Brazil,1999,COE,10,10,0,1
a17342050c271e78,2008,COE,Guatemala,2008,COE,25,0,25,0
a2287dd141a2aa33,2005,COE Pulped Natural,Brazil,2005,COE,36,36,0,1
a4ff42ee1c56fcb6,2005,COE,El Salvador,2005,COE,17,0,17,0
a58384c85569435c,2012,COE,Nicaragua,2012,COE,25,0,25,0
a66ac5503b74bdc0,2014,COE,Rwanda,2014,COE,28,0,28,0
a715bdb54ff0d688,Nicaragua 2021,COE,Nicaragua,2021,COE,23,23,0,1
a788c4997f41e4fb,2013,COE,Burundi,2013,COE,14,0,14,0
a888e8977fcf5201,Guatemala 2024,COE,Guatemala,2024,COE,28,28,0,1
a888e8977fcf5201,Guatemala 2024,COE,Guatemala,2024,NW,3,3,0,1
a9c5085d9aa7d8bf,2019,COE,Peru,2019,COE,21,21,0,1
aaed34d3b88aef8b,2009,COE,Honduras,2009,COE,39,0,39,0
ab20ca6fa71477c3,2003,COE Pulped Natural,Brazil,2003,COE,43,43,0,1
