event_id,country,year,event_name,raw_rows,entries,removed,retention_rate
81ba66b9c2fe1d13,Brazil,2013,2013,22,21,1,0.9545454545454546
b2252d20dd28d7dd,Brazil,2015,2015,22,21,1,0.9545454545454546
5add2920159e49b6,Burundi,2019,2019,24,23,1,0.9583333333333334
b762b1a91ef82ae0,Costa Rica,2014,2014,25,24,1,0.96
7294b6371afc8507,El Salvador,2013,2013,26,25,1,0.9615384615384616
07530078211d9a65,El Salvador,2015,2015,27,26,1,0.9629629629629629
49d1caf44685b143,Guatemala,2015,2015,24,23,1,0.9583333333333334
54e133d3a0bc6ff3,Honduras,2014,2014,23,22,1,0.9565217391304348
35258d5d107d50f1,Indonesia,2022,Indonesia 2022,35,34,1,0.9714285714285714
eb4956f44a554a3b,Mexico,2013,2013,16,15,1,0.9375
8df430f321dfebe7,Nicaragua,2014,2014,25,24,1,0.96
319d40e9b8e35a24,Nicaragua,2022,Nicaragua 2022,27,26,1,0.9629629629629629
4e0a635e5b9cd136,Peru,2018,2018,24,23,1,0.9583333333333334
415b9957427e9382,Rwanda,2013,2013,15,14,1,0.9333333333333333
2275524667da73bd,Taiwan,2025,Taiwan 2025,28,27,1,0.9642857142857143
2a8e5a9baaa80905,Thailand,2023,Thailand 2023,17,16,1,0.9411764705882353
86f5fadc62969c5f,Bolivia,2004,2004,13,13,0,1
cbe3c4b09a54bec0,Bolivia,2005,2005,19,19,0,1
344ddab608c8d8c8,Bolivia,2007,2007,26,26,0,1
6646acbd1638b6ee,Bolivia,2008,2008,29,29,0,1
41c894e8f5792c14,Bolivia,2009,2009,30,30,0,1
9f945028bafe640f,Brazil,1999,1999,10,10,0,1
5b0c683a06c2fd21,Brazil,2000,2000,18,18,0,1
e2acf27cd7656ef2,Brazil,2001,2001,18,18,0,1
6380da67582687f1,Brazil,2002,2002,28,28,0,1
ab20ca6fa71477c3,Brazil,2003,2003,43,43,0,1
e36d63fff8523cfb,Brazil,2004,2004,36,36,0,1
a2287dd141a2aa33,Brazil,2005,2005,36,36,0,1
c8752ceee8bb53f1,Brazil,2006,2006,28,28,0,1
44619d3e719c99ef,Brazil,2008,2008,23,23,0,1
11b46c35400dc616,Brazil,2009,2009,26,26,0,1
6dc5bb1377bf2317,Brazil,2011,2011,31,31,0,1
90ce520eb2b1c7b3,Brazil,2012,2012,24,24,0,1
97486e2f1c2df951,Brazil,2012,2012,18,18,0,1
208d8a119b3fcd68,Brazil,2014,2014,21,21,0,1
374bae6a9cdc8d6c,Brazil,2022,Brazil 2022,24,24,0,1
5690e5dd7b7859d2,Brazil,2023,Brazil 2023,30,30,0,1
4d450701ea8feb17,Brazil,2025,Brazil 2025,39,39,0,1
616f537ef2678bf7,Burundi,2012,2012,17,17,0,1
a788c4997f41e4fb,Burundi,2013,2013,14,14,0,1
f142488b1549196e,Burundi,2014,2014,27,27,0,1
924c6ccd256e3867,Colombia,2005,2005 North,25,25,0,1
977c3d13e69fd1a0,Colombia,2005,2005 South,33,33,0,1
7887cd6f3b2c4612,Colombia,2006,2006 North,23,23,0,1
cbf7cef16e2f2288,Colombia,2006,2006 South,30,30,0,1
30131012ffca0563,Colombia,2007,2007 North,30,30,0,1
e91a6326be6cc6dc,Colombia,2008,2008 South,18,18,0,1
7e63f3505a9fd29f,Colombia,2009,2009 North,27,27,0,1
d499fbd326fc6ee9,Colombia,2010,2010 South,21,21,0,1
7ee7c9627e3a94bd,Colombia,2011,2011 North,22,22,0,1
d097a68f0a5eff0b,Colombia,2012,2012 South,30,30,0,1
8ba1050b3deba653,Colombia,2013,2013 North,20,20,0,1
efb2f39d90f46af8,Costa Rica,2007,2007,25,25,0,1
39c4de609fc7f6d0,Costa Rica,2008,2008,30,30,0,1
c5f2e2e30775dfe7,Costa Rica,2009,2009,24,24,0,1
1105bfdd52f0c6fb,Costa Rica,2011,2011,31,31,0,1
44540f168407c8ad,Costa Rica,2012,2012,27,27,0,1
d144777157aa3439,Costa Rica,2013,2013,22,22,0,1
56e67cb59fb81745,Costa Rica,2015,2015,35,35,0,1
9b39103db61369e1,El Salvador,2003,2003,31,31,0,1
f59277b5e64c2ec4,El Salvador,2004,2004,35,35,0,1
a4ff42ee1c56fcb6,El Salvador,2005,2005,17,17,0,1
ada629ce75da8ae0,El Salvador,2006,2006,23,23,0,1
7596cdc55b1b13b7,El Salvador,2007,2007,23,23,0,1
6b9d377e893fb5d8,El Salvador,2008,2008,36,36,0,1
3d618d74f19c5393,El Salvador,2009,2009,33,33,0,1
27f98df4f5c3dba9,El Salvador,2010,2010,30,30,0,1
236a55b8dc898b6b,El Salvador,2011,2011,42,42,0,1
eba617e4fe8e52b9,El Salvador,2012,2012,28,28,0,1
36f7881408411ac3,El Salvador,2024,El Salvador 2024,33,33,0,1
e38c7393edb1fc36,Guatemala,2002,2002,33,33,0,1
becb5d5a8d06e2c4,Guatemala,2006,2006,25,25,0,1
4891a599b8c371e3,Guatemala,2007,2007,19,19,0,1
a17342050c271e78,Guatemala,2008,2008,25,25,0,1
e3acd98cde143171,Guatemala,2009,2009,23,23,0,1
3658e3cf0f8b901b,Guatemala,2010,2010,28,28,0,1
5128a3c5edf58a16,Guatemala,2011,2011,29,29,0,1
09d57f1b6eace9c6,Guatemala,2012,2012,23,23,0,1
4cb76103d3072242,Honduras,2004,2004,21,21,0,1
e4999c5ee612d56f,Honduras,2005,2005,41,41,0,1
7b8b2a60ec93c4dc,Honduras,2006,2006,33,33,0,1
b26066e3491384bc,Honduras,2007,2007,24,24,0,1
85b770ec2ac11ac8,Honduras,2008,2008,26,26,0,1
aaed34d3b88aef8b,Honduras,2009,2009,39,39,0,1
597c46cc3f0e2bd1,Honduras,2010,2010,25,25,0,1
8aabc8f0143025f3,Honduras,2011,2011,33,33,0,1
3a9e10cfadb01ede,Honduras,2012,2012,20,20,0,1
f6b296b9e61cd542,Honduras,2013,2013,22,22,0,1
e80af4f8d8bd890c,Indonesia,2021,Indonesia 2021,26,26,0,1
96a5d35a9035433e,Mexico,2012,2012,10,10,0,1
3963608e04ba6462,Mexico,2014,2014,19,19,0,1
9c4359f85637f806,Mexico,2015,2015,20,20,0,1
958690440cdbefb5,Nicaragua,2002,2002,23,23,0,1
006d132a118d0da8,Nicaragua,2003,2003,37,37,0,1
9b41db41829ea486,Nicaragua,2004,2004,29,29,0,1
d767976e2066de8e,Nicaragua,2005,2005,35,35,0,1
da9b1a5c74fd4dd4,Nicaragua,2006,2006,25,25,0,1
762c57dba751e942,Nicaragua,2007,2007,34,34,0,1
da5b8d67ef9fccb3,Nicaragua,2008,2008,25,25,0,1
c56ff7f8e1e41dd6,Nicaragua,2009,2009,26,26,0,1
5971844d6c5e2009,Nicaragua,2010,2010,27,27,0,1
e741c9bf9232ab04,Nicaragua,2011,2011,27,27,0,1
a58384c85569435c,Nicaragua,2012,2012,25,25,0,1
69a12e0f55740ef8,Rwanda,2008,2008,24,24,0,1
ad438a1492b82749,Rwanda,2010,2010,22,22,0,1
cbb6685c1de9606c,Rwanda,2011,2011,36,36,0,1
8609cb0c260326a4,Rwanda,2012,2012,26,26,0,1
a66ac5503b74bdc0,Rwanda,2014,2014,28,28,0,1
2ce15a7f40ccc6a3,Taiwan,2024,Taiwan 2024,25,25,0,1
