event_id,country,year,program,event_name,source_url,lots,prices_reported,weights_reported,buyers_reported,price_coverage,weight_coverage,buyer_coverage
44540f168407c8ad,Costa Rica,2012,COE,2012,https://allianceforcoffeeexcellence.org/costa-rica-2012/,27,27,0,27,1,0,1
44619d3e719c99ef,Brazil,2008,COE,2008,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2008/,23,23,0,23,1,0,1
4891a599b8c371e3,Guatemala,2007,COE,2007,https://allianceforcoffeeexcellence.org/guatemala-2007/,19,19,0,19,1,0,1
49d1caf44685b143,Guatemala,2015,COE,2015,https://allianceforcoffeeexcellence.org/guatemala-2015/,24,24,0,24,1,0,1
4b1d2194122da044,Guatemala,2014,COE,2014,https://allianceforcoffeeexcellence.org/guatemala-2014/,24,24,0,24,1,0,1
4b2992b9faf3f4f6,El Salvador,2020,COE,El Salvador 2020,https://allianceforcoffeeexcellence.org/el-salvador-2020/,23,23,23,23,1,1,1
4cb76103d3072242,Honduras,2004,COE,2004,https://allianceforcoffeeexcellence.org/honduras-2004/,21,21,0,21,1,0,1
4d450701ea8feb17,Brazil,2025,COE,Brazil 2025,https://allianceforcoffeeexcellence.org/brazil-2025/,33,33,33,33,1,1,1
4ddbb0cda233441d,Ethiopia,2022,COE,Ethiopia 2022,https://allianceforcoffeeexcellence.org/ethiopia-2022/,32,32,32,32,1,1,1
4e0a635e5b9cd136,Peru,2018,COE,2018,https://allianceforcoffeeexcellence.org/peru-2018/,24,24,0,24,1,0,1
4e0a635e5b9cd136,Peru,2018,NW,2018,https://allianceforcoffeeexcellence.org/peru-2018/,8,8,8,8,1,1,1
4f4bfa360131e53c,El Salvador,2025,COE,El Salvador 2025,https://allianceforcoffeeexcellence.org/el-salvador-2025/,34,34,31,0,1,0.9117647058823529,0
4f643bafa11775bd,Guatemala,2013,COE,2013,https://allianceforcoffeeexcellence.org/guatemala-2013/,23,23,0,23,1,0,1
512074cd9f5e0fb3,Peru,2020,COE,Peru 2020,https://allianceforcoffeeexcellence.org/peru-2020/,25,25,25,25,1,1,1
5128a3c5edf58a16,Guatemala,2011,COE,2011,https://allianceforcoffeeexcellence.org/guatemala-2011/,29,29,0,29,1,0,1
54e133d3a0bc6ff3,Honduras,2014,COE,2014,https://allianceforcoffeeexcellence.org/honduras-2014/,23,23,0,23,1,0,1
558daec13f90276f,El Salvador,2014,COE,2014,https://allianceforcoffeeexcellence.org/el-salvador-2014/,33,33,0,33,1,0,1
563b2176a64e6691,Costa Rica,2025,COE,Costa Rica 2025,https://allianceforcoffeeexcellence.org/costa-rica-2025/,37,37,33,0,1,0.8918918918918919,0
5690e5dd7b7859d2,Brazil,2023,COE,Brazil 2023,https://allianceforcoffeeexcellence.org/brazil-2023/,30,30,30,30,1,1,1
56e67cb59fb81745,Costa Rica,2015,COE,2015,https://allianceforcoffeeexcellence.org/costa-rica-2015/,35,35,0,35,1,0,1
56f3d93e6d53724a,Brazil,2018,COE,2018,https://allianceforcoffeeexcellence.org/brazil-naturals-2018/,45,45,0,45,1,0,1
58d0dda26a0c47c5,Brazil,2019,COE,2019,https://allianceforcoffeeexcellence.org/brazil-2019/,30,30,30,30,1,1,1
5971844d6c5e2009,Nicaragua,2010,COE,2010,https://allianceforcoffeeexcellence.org/nicaragua-2010/,27,27,0,27,1,0,1
597c46cc3f0e2bd1,Honduras,2010,COE,2010,https://allianceforcoffeeexcellence.org/honduras-2010/,25,25,0,25,1,0,1
5a4325fd738bec15,Ecuador,2023,COE,Ecuador 2023,https://allianceforcoffeeexcellence.org/ecuador-2023/,19,19,19,19,1,1,1
5add2920159e49b6,Burundi,2019,COE,2019,https://allianceforcoffeeexcellence.org/burundi-2019/,21,21,21,21,1,1,1
5b0c683a06c2fd21,Brazil,2000,COE,2000,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2000/,18,18,0,18,1,0,1
6125b41b95ca5561,Burundi,2018,COE,2018,https://allianceforcoffeeexcellence.org/burundi-2018/,36,36,36,36,1,1,1
6125b41b95ca5561,Burundi,2018,NW,2018,https://allianceforcoffeeexcellence.org/burundi-2018/,6,0,0,0,0,0,0
616f537ef2678bf7,Burundi,2012,COE,2012,https://allianceforcoffeeexcellence.org/burundi-2012/,17,17,0,17,1,0,1
633bbe248a592d8c,Honduras,2025,COE,Honduras 2025,https://allianceforcoffeeexcellence.org/honduras-2025/,33,33,33,33,1,1,1
6380da67582687f1,Brazil,2002,COE,2002,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2002/,28,28,0,28,1,0,1
648ba67dc99a9346,El Salvador,2019,COE,2019,https://allianceforcoffeeexcellence.org/el-salvador-2019/,27,27,27,27,1,1,1
6646acbd1638b6ee,Bolivia,2008,COE,2008,https://allianceforcoffeeexcellence.org/bolivia-2008/,29,29,0,29,1,0,1
69a12e0f55740ef8,Rwanda,2008,COE,2008,https://allianceforcoffeeexcellence.org/rwanda-2008/,24,24,0,24,1,0,1
6b9d377e893fb5d8,El Salvador,2008,COE,2008,https://allianceforcoffeeexcellence.org/el-salvador-2008/,36,36,0,36,1,0,1
6dc5bb1377bf2317,Brazil,2011,COE,2011,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2011/,31,31,0,31,1,0,1
70d2a14e35e4a127,Brazil,2020,COE,Brazil 2020,https://allianceforcoffeeexcellence.org/brazil-2020/,30,30,30,30,1,1,1
7271aa2d4ce78a13,Guatemala,2023,COE,Guatemala 2023,https://allianceforcoffeeexcellence.org/guatemala-2023/,31,31,31,31,1,1,1
7294b6371afc8507,El Salvador,2013,COE,2013,https://allianceforcoffeeexcellence.org/el-salvador-2013/,26,26,0,26,1,0,1
730e5b8120156480,Honduras,2024,COE,Honduras 2024,https://allianceforcoffeeexcellence.org/honduras-2024/,32,32,32,32,1,1,1
7596cdc55b1b13b7,El Salvador,2007,COE,2007,https://allianceforcoffeeexcellence.org/el-salvador-2007/,23,23,0,23,1,0,1
762c57dba751e942,Nicaragua,2007,COE,2007,https://allianceforcoffeeexcellence.org/nicaragua-2007/,34,34,0,34,1,0,1
7887cd6f3b2c4612,Colombia,2006,COE,2006 North,https://allianceforcoffeeexcellence.org/colombia-north-2006/,23,23,0,23,1,0,1
7b46413689f41744,Nicaragua,2023,COE,Nicaragua 2023,https://allianceforcoffeeexcellence.org/nicaragua-2023/,18,18,18,18,1,1,1
7b8b2a60ec93c4dc,Honduras,2006,COE,2006,https://allianceforcoffeeexcellence.org/honduras-2006/,33,33,0,33,1,0,1
7ba223eeaf3a9cb7,Brazil,2017,COE,2017,https://allianceforcoffeeexcellence.org/brazil-naturals-2017/,37,37,0,37,1,0,1
7ba223eeaf3a9cb7,Brazil,2017,NW,2017,https://allianceforcoffeeexcellence.org/brazil-naturals-2017/,5,4,0,3,0.8,0,0.6
7cd41b217cdcd97e,Mexico,2017,COE,2017,https://allianceforcoffeeexcellence.org/mexico-2017/,22,22,0,22,1,0,1
7cd41b217cdcd97e,Mexico,2017,NW,2017,https://allianceforcoffeeexcellence.org/mexico-2017/,9,6,0,6,0.6666666666666666,0,0.6666666666666666
7d2b8caa9301eabc,Indonesia,2023,COE,Indonesia 2023,https://allianceforcoffeeexcellence.org/indonesia-2023/,25,25,25,25,1,1,1
7e63f3505a9fd29f,Colombia,2009,COE,2009 North,https://allianceforcoffeeexcellence.org/colombia-north-2009/,27,27,0,27,1,0,1
7eda394b87ad5966,Nicaragua,2025,COE,Nicaragua 2025,https://allianceforcoffeeexcellence.org/nicaragua-2025/,31,31,29,29,1,0.9354838709677419,0.9354838709677419
7ee7c9627e3a94bd,Colombia,2011,COE,2011 North,https://allianceforcoffeeexcellence.org/colombia-north-2011/,22,22,0,22,1,0,1
7f40430980f0b5e6,Nicaragua,2018,COE,2018,https://allianceforcoffeeexcellence.org/nicaragua-2018/,40,40,0,40,1,0,1
7f40430980f0b5e6,Nicaragua,2018,NW,2018,https://allianceforcoffeeexcellence.org/nicaragua-2018/,3,3,0,3,1,0,1
8191f8204aa713fa,Guatemala,2016,COE,2016,https://allianceforcoffeeexcellence.org/guatemala-2016/,25,25,0,25,1,0,1
81ba66b9c2fe1d13,Brazil,2013,COE,2013,https://allianceforcoffeeexcellence.org/brazil-naturals-2013/,22,22,0,22,1,0,1
8490c0273821d2a1,Mexico,2021,COE,Mexico 2021,https://allianceforcoffeeexcellence.org/mexico-2021/,33,33,33,33,1,1,1
84ad38b1037dcc19,Nicaragua,2020,COE,Nicaragua 2020,https://allianceforcoffeeexcellence.org/nicaragua-2020/,18,18,18,18,1,1,1
85b770ec2ac11ac8,Honduras,2008,COE,2008,https://allianceforcoffeeexcellence.org/honduras-2008/,26,26,0,26,1,0,1
85dbbeca6dd82687,Rwanda,2015,COE,2015,https://allianceforcoffeeexcellence.org/rwanda-2015/,23,23,0,23,1,0,1
8609cb0c260326a4,Rwanda,2012,COE,2012,https://allianceforcoffeeexcellence.org/rwanda-2012/,26,26,0,26,1,0,1
86196d6e98565c85,Costa Rica,2017,COE,2017,https://allianceforcoffeeexcellence.org/costa-rica-coe-2017/,32,32,0,32,1,0,1
