country,year,program,stage,process_group,source_url,source_table_id,rank,size,farm_cws,farmer_representative,region,score,download_status,download_error,lot_number,lot_size,high_bid,total_value,high_bidder_s,producer,variety,process,weight_kg,farm,farmer,process_variety,weight_lbs,company_name,farm_name,bid_lb,winner,buyer_s_location,altitude_masl,ranking,price_per_lb,total_price,origin,buyer,na,na_2,na_3,na_4,na_5,na_6,na_7,na_8,na_9,na_10,na_11,na_12,na_13,na_14,na_15,weight_lb,final_bid_lb,processing,lot_no,coffee_washing_station_name,coffee_washing_station_owner,variety_processing,boxes,weight,bid,high_bidder,owner,size_30kg_boxes,hight_bid,high_bid_lb,business_name,farmer_name,farmer_organization,zone,woreda,lot_lbs,size_lbs,weights_kg,altitude_m,estimated_weight_kg,proceso,variedad,winners,weigth_kg,lot,lb,size_69kg_bags,origin_of_buyer,wight_lb,farmer_representetive,farmer_en,farm_en
Brazil,2020,COE,auction,NA,https://allianceforcoffeeexcellence.org/brazil-2020/,1,1b,NA,NA,NA,NA,90.03,success,NA,NA,NA,$38.90,"$12,863.84",NA,NA,NA,NA,NA,Sítio Escondica,NA,NA,330.69,"Proud Mary Coffee Roasters. Timesclub, and Supremo Coffee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brazil,2020,COE,auction,NA,https://allianceforcoffeeexcellence.org/brazil-2020/,1,2,NA,NA,NA,NA,89.71,success,NA,NA,NA,$12.90,"$18,770.15",NA,NA,NA,NA,NA,Sítio Boa Vista,NA,NA,1455.05,"Cafe Sinbi’s LOVE,
BOKKUM COFFEE ROASTERS
& GIL-COFFEE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brazil,2020,COE,auction,NA,https://allianceforcoffeeexcellence.org/brazil-2020/,1,3,NA,NA,NA,NA,88.94,success,NA,NA,NA,$14.60,"$16,415.66",NA,NA,NA,NA,NA,Fazenda Monte Alto,NA,NA,1124.36,Latorre & Dutch Coffee (China) for Taster’s Coffee / Small Arms Big Heart / Nopparoot Kitcharoen / 白鲸咖啡豆子店 / Gozo Cafe / KOLAKOLA COFFEE / Fisher Coffee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brazil,2020,COE,auction,NA,https://allianceforcoffeeexcellence.org/brazil-2020/,1,4,NA,NA,NA,NA,88.94,success,NA,NA,NA,$20.50,"$14,914.37",NA,NA,NA,NA,NA,Sítio Floresta,NA,NA,727.53,Kyokuto Fadie Corporation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brazil,2020,COE,auction,NA,https://allianceforcoffeeexcellence.org/brazil-2020/,1,5,NA,NA,NA,NA,88.88,success,NA,NA,NA,$27.80,"$20,225.33",NA,NA,NA,NA,NA,Chácara Vista Alegre,NA,NA,727.53,Blue Bottle Coffee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brazil,2020,COE,auction,NA,https://allianceforcoffeeexcellence.org/brazil-2020/,1,6,NA,NA,NA,NA,88.88,success,NA,NA,NA,$17.30,"$11,442.05",NA,NA,NA,NA,NA,Sítio Monjolinho,NA,NA,661.39,"Tashiro Coffee Co., Ltd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brazil,2020,COE,auction,NA,https://allianceforcoffeeexcellence.org/brazil-2020/,1,7,NA,NA,NA,NA,88.88,success,NA,NA,NA,$15.10,"$9,986.99",NA,NA,NA,NA,NA,Fazenda Paixão,NA,NA,661.39,ECOM Japan Limited for NOZY COFFEE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brazil,2020,COE,auction,NA,https://allianceforcoffeeexcellence.org/brazil-2020/,1,8,NA,NA,NA,NA,88.85,success,NA,NA,NA,$12.20,"$8,875.87",NA,NA,NA,NA,NA,Sítio Braga,NA,NA,727.53,"Wataru & Co., Ltd.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brazil,2020,COE,auction,NA,https://allianceforcoffeeexcellence.org/brazil-2020/,1,9,NA,NA,NA,NA,88.76,success,NA,NA,NA,$13.15,"$8,697.28",NA,NA,NA,NA,NA,Fazenda Pedra Preta,NA,NA,661.39,Japan Roasters’ Network,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brazil,2020,COE,auction,NA,https://allianceforcoffeeexcellence.org/brazil-2020/,1,10,NA,NA,NA,NA,88.56,success,NA,NA,NA,$12.00,"$7,936.68",NA,NA,NA,NA,NA,Sítio Triunfo,NA,NA,661.39,"Wataru & Co., Ltd.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
