date,year,month,series,value,unit,market_scope,source_url
2005-05-01,2005,5,Cocoa — World Bank,1.51,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2005-06-01,2005,6,Cocoa — World Bank,1.54,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2005-07-01,2005,7,Cocoa — World Bank,1.49,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2005-08-01,2005,8,Cocoa — World Bank,1.48,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2005-09-01,2005,9,Cocoa — World Bank,1.5,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2005-10-01,2005,10,Cocoa — World Bank,1.46,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2005-11-01,2005,11,Cocoa — World Bank,1.44,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2005-12-01,2005,12,Cocoa — World Bank,1.51,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2006-01-01,2006,1,Cocoa — World Bank,1.57,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2006-02-01,2006,2,Cocoa — World Bank,1.55,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2006-03-01,2006,3,Cocoa — World Bank,1.55,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2006-04-01,2006,4,Cocoa — World Bank,1.55,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2006-05-01,2006,5,Cocoa — World Bank,1.6,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2006-06-01,2006,6,Cocoa — World Bank,1.61,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2006-07-01,2006,7,Cocoa — World Bank,1.68,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2006-08-01,2006,8,Cocoa — World Bank,1.62,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2006-09-01,2006,9,Cocoa — World Bank,1.57,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2006-10-01,2006,10,Cocoa — World Bank,1.53,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2006-11-01,2006,11,Cocoa — World Bank,1.58,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2006-12-01,2006,12,Cocoa — World Bank,1.71,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2007-01-01,2007,1,Cocoa — World Bank,1.7,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
2007-02-01,2007,2,Cocoa — World Bank,1.82,USD/kg,Global commodity benchmark,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
