country,year,program,process_group,rank,score,farm,producer,process,variety,region,source_url,swap_process_variety,process_family,rank_key,entry_rank,farm_key,producer_key,entry_key
Bolivia,2008,Not classified,NA,4,88.97,Café Ascencion,Domingo Mamani Alanoca,NA,NA,"Colonia Alto Ascensión, Rosario Entre Ríos County, Province of Caranavi",https://allianceforcoffeeexcellence.org/bolivia-2008/,FALSE,Not reported,4,4,cafe ascencion,domingo mamani alanoca,Bolivia|2008|Not classified|NA|4
Bolivia,2008,Not classified,NA,5,88.97,Café Caracol,Jacinto Titirico Ibañez,NA,NA,"Colonia 7 Estrellas, Chijchipani County, Province of Caranavi",https://allianceforcoffeeexcellence.org/bolivia-2008/,FALSE,Not reported,5,5,cafe caracol,jacinto titirico ibanez,Bolivia|2008|Not classified|NA|5
Bolivia,2008,Not classified,NA,6,88.94,Café Golondrina,Celso David Mayta Quispe,NA,NA,"Colonia Copacabana, Rural Caranavi, Province of Caranavi",https://allianceforcoffeeexcellence.org/bolivia-2008/,FALSE,Not reported,6,6,cafe golondrina,celso david mayta quispe,Bolivia|2008|Not classified|NA|6
Bolivia,2008,Not classified,NA,7,88.74,Café Aurelio,Aurelio Mamani Ramirez,NA,NA,"Colonia Kantutani, Rosario Entre Ríos County, Province of Caranavi",https://allianceforcoffeeexcellence.org/bolivia-2008/,FALSE,Not reported,7,7,cafe aurelio,aurelio mamani ramirez,Bolivia|2008|Not classified|NA|7
Bolivia,2008,Not classified,NA,8,88.47,APECE,Julia Tintaya de Patana,NA,NA,"Colonia Sabaya, Carrasco La Reserva County, Province of Caranavi",https://allianceforcoffeeexcellence.org/bolivia-2008/,FALSE,Not reported,8,8,apece,julia tintaya de patana,Bolivia|2008|Not classified|NA|8
Bolivia,2008,Not classified,NA,9,87.74,Café Estrella,Cruz Quispe Mamani,NA,NA,"Colonia La Estrella, Incahuara County, Province of Caranavi",https://allianceforcoffeeexcellence.org/bolivia-2008/,FALSE,Not reported,9,9,cafe estrella,cruz quispe mamani,Bolivia|2008|Not classified|NA|9
Bolivia,2008,Not classified,NA,10,87.71,Café Flor Rosa,Martha Ojeda Mamani,NA,NA,"Colonia Loayza, Santa Fé County, Province of Caranavi",https://allianceforcoffeeexcellence.org/bolivia-2008/,FALSE,Not reported,10,10,cafe flor rosa,martha ojeda mamani,Bolivia|2008|Not classified|NA|10
Bolivia,2008,Not classified,NA,11,86.18,Café Montaña,Félix Yana Mamani,NA,NA,"Colonia San Ignacio, Carrasco La Reserva County, Province of Caranavi",https://allianceforcoffeeexcellence.org/bolivia-2008/,FALSE,Not reported,11,11,cafe montana,felix yana mamani,Bolivia|2008|Not classified|NA|11
Bolivia,2008,Not classified,NA,12,86.03,Café Alejandra,Florencia Fernandez Choque,NA,NA,"Colonia Manco Kapac Segunda, Rosario Entre Ríos County, Province of Caranavi",https://allianceforcoffeeexcellence.org/bolivia-2008/,FALSE,Not reported,12,12,cafe alejandra,florencia fernandez choque,Bolivia|2008|Not classified|NA|12
Bolivia,2008,Not classified,NA,13,85.85,AIPEAD V,Erenio Tola,NA,NA,"Colonia Amor de Dios, Taipyplaya County, Province of Caranavi",https://allianceforcoffeeexcellence.org/bolivia-2008/,FALSE,Not reported,13,13,aipead v,erenio tola,Bolivia|2008|Not classified|NA|13
Bolivia,2008,Not classified,NA,14,85.82,Café Oscar,Nestor Mayta Quille,NA,NA,"Colonia Hernando de Magallanes, Rosario de Entre Ríos County, Province of Caranavi",https://allianceforcoffeeexcellence.org/bolivia-2008/,FALSE,Not reported,14,14,cafe oscar,nestor mayta quille,Bolivia|2008|Not classified|NA|14
Bolivia,2008,Not classified,NA,15,85.82,Café de Montaña,Manuel Mamani Uluri,NA,NA,"Colonia Chojñapampa, Carrasco La Reserva County, Province of Caranavi",https://allianceforcoffeeexcellence.org/bolivia-2008/,FALSE,Not reported,15,15,cafe de montana,manuel mamani uluri,Bolivia|2008|Not classified|NA|15
Bolivia,2008,Not classified,NA,16,85.79,Café Huancayño,Luciano Huanca Flores,NA,NA,"Colonia Chojñapampa, Carrasco La Reserva County, Province of Caranavi",https://allianceforcoffeeexcellence.org/bolivia-2008/,FALSE,Not reported,16,16,cafe huancayno,luciano huanca flores,Bolivia|2008|Not classified|NA|16
Bolivia,2008,Not classified,NA,17,85.71,Café Primavera,Victor Quispe Mamani,NA,NA,"Caranavi, Yungas of La Paz",https://allianceforcoffeeexcellence.org/bolivia-2008/,FALSE,Not reported,17,17,cafe primavera,victor quispe mamani,Bolivia|2008|Not classified|NA|17
Bolivia,2008,Not classified,NA,18,85.68,Café Picaflor,Pablo Luque Huanca,NA,NA,"Colonia Chojñapampa, Carrasco La Reserva County, Province of Caranavi",https://allianceforcoffeeexcellence.org/bolivia-2008/,FALSE,Not reported,18,18,cafe picaflor,pablo luque huanca,Bolivia|2008|Not classified|NA|18
Bolivia,2008,Not classified,NA,19,84.91,Café Lidia,Angel Mamani Mamani,NA,NA,"Colonia San Ignacio, Carrasco La Reserva County, Province of Caranavi",https://allianceforcoffeeexcellence.org/bolivia-2008/,FALSE,Not reported,19,19,cafe lidia,angel mamani mamani,Bolivia|2008|Not classified|NA|19
Bolivia,2008,Not classified,NA,20,84.79,Yanaloma IV,Roberto Mendoza Ayaviri,NA,NA,"Colonia Yanaloma, Aten County , Province of Franz Tamayo",https://allianceforcoffeeexcellence.org/bolivia-2008/,FALSE,Not reported,20,20,yanaloma iv,roberto mendoza ayaviri,Bolivia|2008|Not classified|NA|20
Bolivia,2008,Not classified,NA,21,84.79,Cima del Jaguar B,Eulogio Luque Yana,NA,NA,"Tercera Kantutani, Rosario de Entre Ríos County, Province of Caranavi",https://allianceforcoffeeexcellence.org/bolivia-2008/,FALSE,Not reported,21,21,cima del jaguar b,eulogio luque yana,Bolivia|2008|Not classified|NA|21
Bolivia,2008,Not classified,NA,22,84.79,Alan Coffe (YTC),Luis Yujra Arismende,NA,NA,"Not Available, Province of Caranavi",https://allianceforcoffeeexcellence.org/bolivia-2008/,FALSE,Not reported,22,22,alan coffe ytc,luis yujra arismende,Bolivia|2008|Not classified|NA|22
Bolivia,2008,Not classified,NA,23,84.65,Café Maria Elena,Fermin Cabrera Poma,NA,NA,"Colonia Alto Ascensión Segunda, Rosario Entre Ríos County, Province of Caranavi",https://allianceforcoffeeexcellence.org/bolivia-2008/,FALSE,Not reported,23,23,cafe maria elena,fermin cabrera poma,Bolivia|2008|Not classified|NA|23
Bolivia,2008,Not classified,NA,24,84.59,Café Ocho,Eusebio Marca Cruz,NA,NA,"Colonia Ocho de Septiembre, Chijchipani County, Province of Caranavi",https://allianceforcoffeeexcellence.org/bolivia-2008/,FALSE,Not reported,24,24,cafe ocho,eusebio marca cruz,Bolivia|2008|Not classified|NA|24
Bolivia,2008,Not classified,NA,25,84.56,Zona 8 Villa Oriente,Alberto Catunta Quispe,NA,NA,"Colonia 8 de Septiembre, Rosario de Entre Ríos County, Province of Caranavi",https://allianceforcoffeeexcellence.org/bolivia-2008/,FALSE,Not reported,25,25,zona 8 villa oriente,alberto catunta quispe,Bolivia|2008|Not classified|NA|25
Bolivia,2008,Not classified,NA,26,84.53,Los Trios,David Yanahuaya Quispe,NA,NA,"Colonia Flor de Mayo, Taipyplaya County, Province of Caranavi",https://allianceforcoffeeexcellence.org/bolivia-2008/,FALSE,Not reported,26,26,los trios,david yanahuaya quispe,Bolivia|2008|Not classified|NA|26
Bolivia,2008,Not classified,NA,27,84.47,Café David,Santiago Mamani Mamani,NA,NA,"Colonia Chojñapampa, Carrasco La Reserva County, Province of Caranavi",https://allianceforcoffeeexcellence.org/bolivia-2008/,FALSE,Not reported,27,27,cafe david,santiago mamani mamani,Bolivia|2008|Not classified|NA|27
Bolivia,2008,Not classified,NA,28,84.35,AIPEAD I,Julian Chambi Apaza,NA,NA,"Colonia Amor de Dios, Taipyplaya County, Province of Caranavi",https://allianceforcoffeeexcellence.org/bolivia-2008/,FALSE,Not reported,28,28,aipead i,julian chambi apaza,Bolivia|2008|Not classified|NA|28
Bolivia,2008,Not classified,NA,29,84.06,Café Jasmin,Eduardo Tola Condori,NA,NA,"Colonia Uchumachi, Carrasco La Reserva County, Province of Caranavi",https://allianceforcoffeeexcellence.org/bolivia-2008/,FALSE,Not reported,29,29,cafe jasmin,eduardo tola condori,Bolivia|2008|Not classified|NA|29
Bolivia,2009,Not classified,NA,1,93.36,Agrotakesi SA,Mauricio Ramiro Diez de Medina,NA,NA,"Yanacahi, Yungas of La Paz",https://allianceforcoffeeexcellence.org/bolivia-2009/,FALSE,Not reported,1,1,agrotakesi sa,mauricio ramiro diez de medina,Bolivia|2009|Not classified|NA|1
