country,year,source_url,download_status,download_error,competition_rows,auction_rows
Colombia,2006,https://allianceforcoffeeexcellence.org/colombia-south-2006/,success,NA,30,0
Colombia,2007,https://allianceforcoffeeexcellence.org/colombia-north-2007/,success,NA,30,0
Colombia,2008,https://allianceforcoffeeexcellence.org/colombia-south-2008/,success,NA,18,0
Colombia,2009,https://allianceforcoffeeexcellence.org/colombia-north-2009/,success,NA,27,0
Colombia,2010,https://allianceforcoffeeexcellence.org/colombia-south-2010/,success,NA,21,0
Colombia,2011,https://allianceforcoffeeexcellence.org/colombia-north-2011/,success,NA,22,0
Colombia,2012,https://allianceforcoffeeexcellence.org/colombia-south-2012/,success,NA,30,0
Colombia,2013,https://allianceforcoffeeexcellence.org/colombia-north-2013/,success,NA,20,0
Colombia,2014,https://allianceforcoffeeexcellence.org/colombia-south-2014/,success,NA,34,0
Colombia,2015,https://allianceforcoffeeexcellence.org/colombia-north-2015/,success,NA,31,0
Colombia,2017,https://allianceforcoffeeexcellence.org/colombia-2017/,success,NA,36,0
Colombia,2018,https://allianceforcoffeeexcellence.org/colombia-2018/,success,NA,36,0
Colombia,2019,https://allianceforcoffeeexcellence.org/colombia-north-2019/,success,NA,34,0
Colombia,2020,https://allianceforcoffeeexcellence.org/colombia-2020/,success,NA,0,26
Colombia,2021,https://allianceforcoffeeexcellence.org/colombia-2021/,success,NA,25,26
Colombia,2022,https://allianceforcoffeeexcellence.org/colombia-2022/,success,NA,24,25
Colombia,2023,https://allianceforcoffeeexcellence.org/colombia-2023/,success,NA,31,32
Costa Rica,2007,https://allianceforcoffeeexcellence.org/costa-rica-2007/,success,NA,25,0
Costa Rica,2008,https://allianceforcoffeeexcellence.org/costa-rica-2008/,success,NA,30,0
Costa Rica,2009,https://allianceforcoffeeexcellence.org/costa-rica-2009/,success,NA,24,0
Costa Rica,2011,https://allianceforcoffeeexcellence.org/costa-rica-2011/,success,NA,31,0
Costa Rica,2012,https://allianceforcoffeeexcellence.org/costa-rica-2012/,success,NA,27,0
Costa Rica,2013,https://allianceforcoffeeexcellence.org/costa-rica-2013/,success,NA,22,0
Costa Rica,2014,https://allianceforcoffeeexcellence.org/costa-rica-2014/,success,NA,25,0
Costa Rica,2015,https://allianceforcoffeeexcellence.org/costa-rica-2015/,success,NA,35,0
Costa Rica,2016,https://allianceforcoffeeexcellence.org/costa-rica-2016/,success,NA,26,0
Costa Rica,2017,https://allianceforcoffeeexcellence.org/costa-rica-coe-2017/,success,NA,32,4
Costa Rica,2018,https://allianceforcoffeeexcellence.org/costa-rica-2018/,success,NA,42,5
Costa Rica,2019,https://allianceforcoffeeexcellence.org/costa-rica-2019/,success,NA,31,4
Costa Rica,2020,https://allianceforcoffeeexcellence.org/costa-rica-2020/,success,NA,0,38
Costa Rica,2021,https://allianceforcoffeeexcellence.org/costa-rica-2021/,success,NA,33,34
Costa Rica,2022,https://allianceforcoffeeexcellence.org/costa-rica-2022/,success,NA,35,37
Costa Rica,2023,https://allianceforcoffeeexcellence.org/costa-rica-2023/,success,NA,36,36
Costa Rica,2024,https://allianceforcoffeeexcellence.org/costa-rica-2024/,success,NA,34,34
Costa Rica,2025,https://allianceforcoffeeexcellence.org/costa-rica-2025/,success,NA,33,33
Ecuador,2021,https://allianceforcoffeeexcellence.org/ecuador-2021/,success,NA,30,32
Ecuador,2022,https://allianceforcoffeeexcellence.org/ecuador-2022/,success,NA,24,20
Ecuador,2023,https://allianceforcoffeeexcellence.org/ecuador-2023/,success,NA,19,19
El Salvador,2003,https://allianceforcoffeeexcellence.org/el-salvador-2003/,success,NA,31,0
El Salvador,2004,https://allianceforcoffeeexcellence.org/el-salvador-2004/,success,NA,35,0
El Salvador,2005,https://allianceforcoffeeexcellence.org/el-salvador-2005/,success,NA,17,0
El Salvador,2006,https://allianceforcoffeeexcellence.org/el-salvador-2006/,success,NA,23,0
El Salvador,2007,https://allianceforcoffeeexcellence.org/el-salvador-2007/,success,NA,23,0
El Salvador,2008,https://allianceforcoffeeexcellence.org/el-salvador-2008/,success,NA,36,0
El Salvador,2009,https://allianceforcoffeeexcellence.org/el-salvador-2009/,success,NA,33,0
El Salvador,2010,https://allianceforcoffeeexcellence.org/el-salvador-2010/,success,NA,30,0
El Salvador,2011,https://allianceforcoffeeexcellence.org/el-salvador-2011/,success,NA,42,0
El Salvador,2012,https://allianceforcoffeeexcellence.org/el-salvador-2012/,success,NA,28,0
El Salvador,2013,https://allianceforcoffeeexcellence.org/el-salvador-2013/,success,NA,26,0
El Salvador,2014,https://allianceforcoffeeexcellence.org/el-salvador-2014/,success,NA,33,0
El Salvador,2015,https://allianceforcoffeeexcellence.org/el-salvador-2015/,success,NA,27,0
El Salvador,2017,https://allianceforcoffeeexcellence.org/el-salvador-2017/,success,NA,26,8
El Salvador,2018,https://allianceforcoffeeexcellence.org/el-salvador-2018/,success,NA,42,0
El Salvador,2019,https://allianceforcoffeeexcellence.org/el-salvador-2019/,success,NA,27,7
El Salvador,2020,https://allianceforcoffeeexcellence.org/el-salvador-2020/,success,NA,0,35
El Salvador,2021,https://allianceforcoffeeexcellence.org/el-salvador-2021/,success,NA,41,43
El Salvador,2022,https://allianceforcoffeeexcellence.org/el-salvador-2022/,success,NA,34,36
El Salvador,2023,https://allianceforcoffeeexcellence.org/el-salvador-2023/,success,NA,39,37
