country,year,program,entries,valid_scores,missing_scores,score_min,score_median,score_max
El Salvador,2024,NW,3,3,0,85.86,86.95,87.36
El Salvador,2025,COE,32,32,0,87.02,88.63,90.93
Ethiopia,2021,COE,33,33,0,87.38,88.32,90.6
Ethiopia,2021,NW,9,9,0,86.41,87.06,87.32
Ethiopia,2022,COE,32,32,0,87.17,88.32,90.69
Ethiopia,2022,NW,10,10,0,85.75,86.72,87.08
Ethiopia,2024,COE,29,29,0,87.02,87.63,90.5
Ethiopia,2024,NW,13,13,0,85.72,86.43,86.98
Guatemala,2021,COE,31,31,0,87.04,88.03,90.51
Guatemala,2021,NW,9,9,0,86.19,86.72,86.99
Guatemala,2022,COE,33,33,0,87.23,88.08,91.75
Guatemala,2022,NW,5,5,0,85.13,86.57,87.02
Guatemala,2023,COE,31,31,0,87.02,88.13,91.13
Guatemala,2023,NW,3,3,0,86.43,86.89,86.95
Guatemala,2024,COE,30,30,0,87.22,88.86,91.27
Guatemala,2024,NW,3,3,0,85.38,86.89,86.95
Guatemala,2025,COE,33,33,0,87.21,88.76,91.15
Guatemala,2025,NW,5,5,0,86.88,87.35,87.53
Honduras,2021,COE,28,28,0,87.07,88.18,90.67
Honduras,2021,NW,7,7,0,85.77,86.63,86.83
Honduras,2022,COE,27,27,0,87.06,87.79,91.25
Honduras,2022,NW,4,4,0,86.32,86.66,86.94
Honduras,2023,COE,32,32,0,87.33,88.53999999999999,91.78
Honduras,2023,NW,2,2,0,86.72,86.735,86.75
Honduras,2024,COE,32,32,0,87.11,88.36,91.21
Honduras,2025,COE,33,33,0,87.12,88.09,91.59
Indonesia,2021,COE,26,26,0,87.1,87.82,89.28
Indonesia,2021,NW,6,6,0,86.03,86.88,86.99
Indonesia,2022,COE,23,23,0,87.06,87.74,90.59
Indonesia,2022,NW,12,12,0,85.94,86.265,86.94
Indonesia,2023,COE,25,25,0,87.24,88.15,91.41
Indonesia,2023,NW,2,2,0,85.68,86.03,86.38
Mexico,2021,COE,33,33,0,87.14,88.03,91.58
Mexico,2021,NW,7,7,0,86.47,86.81,87.06
Mexico,2022,COE,33,33,0,87.2,88.63,93
Mexico,2022,NW,4,4,0,86.87,87.03,87.17
Mexico,2023,COE,29,29,0,87.06,88,91
Mexico,2023,NW,9,9,0,86.19,86.5,86.88
Mexico,2024,COE,33,33,0,87.24,88.63,91.13
Mexico,2024,NW,4,4,0,87.03,87.08,87.11
Mexico,2025,COE,33,33,0,87,87.92,91.36
Mexico,2025,NW,4,4,0,86.47,86.71000000000001,86.83
Nicaragua,2021,COE,26,26,0,87,87.915,90.96
Nicaragua,2021,NW,9,9,0,85.69,86.25,86.75
Nicaragua,2022,COE,27,27,0,87.09,87.59,90.74
Nicaragua,2022,NW,11,11,0,86.09,86.5,86.88
Nicaragua,2023,COE,18,18,0,87,88.175,91.6
Nicaragua,2023,NW,9,9,0,85.45,86.75,86.95
Nicaragua,2024,COE,31,31,0,87.2,87.9,91.1
Nicaragua,2025,COE,32,32,0,87.05,88,91.77
Peru,2021,COE,27,27,0,87.09,87.72,90.2
Peru,2021,NW,7,7,0,85.09,85.97,86.63
Peru,2022,COE,32,32,0,87.04,88.03999999999999,90.39
Peru,2022,NW,5,5,0,85.43,85.93,86.77
Peru,2023,COE,33,33,0,87.53,88.53,90.74
Peru,2023,NW,7,7,0,85.53,86.74,87.5
Peru,2024,COE,27,27,0,87,88.14,90.54
Peru,2024,NW,7,7,0,85.86,86.21,86.89
Peru,2025,COE,32,32,0,87.08,88.03,90.64
Peru,2025,NW,3,3,0,86.36,86.72,87.06
Taiwan,2024,COE,20,20,0,87.25,88.53,92.25
Taiwan,2024,NW,5,5,0,85.31,86.38,87.09
Taiwan,2025,COE,28,28,0,87.03,88.53999999999999,91.08
Thailand,2023,COE,17,17,0,87.2,88.63,91.13
Thailand,2023,NW,8,8,0,85.93,86.4,86.97
Thailand,2024,COE,29,29,0,87,87.63,91.8
Thailand,2024,NW,4,4,0,86.61,86.745,86.98
Thailand,2025,COE,23,23,0,87.1,88.47,90.8
Thailand,2025,NW,7,7,0,86.37,86.73,86.83
