event_id,event_name,event_type,country,year,program,process_group,rank,score,farm,producer,process,variety,region,source_url,swap_process_variety,process_family,process_classification_source,rank_key,entry_rank,farm_key,producer_key,entry_key,lot_key,auction_rank,final_bid_usd_lb,weight_lb,total_value_usd,buyer,price_reported,weight_reported,buyer_reported,value_reported,calculated_value_usd,relative_value_difference,value_identity_status,match_status,unmatched_reason,eligible_matched_price_sample,process_label_status,base_process,innovation_class,experimental_method,experimental_technology,first_observed_year_country,last_observed_year_country,left_censored_at_baseline,appearance_after_baseline,first_observed_experimental_entry,reproduced_experimental_entry
56f3d93e6d53724a,2018,COE Natural,Brazil,2018,COE,NA,19,88.35,Sitio do Bone,Vanderlei Paulo Martins,Natural,catuaí,Matas de Minas,https://allianceforcoffeeexcellence.org/brazil-naturals-2018/,FALSE,Natural,reported process,19,19,sitio do bone,vanderlei paulo martins,56f3d93e6d53724a|COE|NA|19,56f3d93e6d53724a|COE|NA|19,19,6.2,NA,4920.69,Campos Coffee,TRUE,FALSE,TRUE,TRUE,NA,NA,not testable,matched: process group and rank,NA,TRUE,reported,Natural,Conventional,NA,NA,NA,NA,NA,NA,FALSE,FALSE
d1543b65c7f3dffe,2018,COE Pulped Natural,Brazil,2018,COE,NA,19,87.25,Chácara Vista Alegre,José Renato Rodrigues Alves,Pulped Natural,Catuaí 144,Chapada Diamantina,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2018/,FALSE,Honey / pulped natural,reported process,19,19,chacara vista alegre,jose renato rodrigues alves,d1543b65c7f3dffe|COE|NA|19,d1543b65c7f3dffe|COE|NA|19,19,5.5,NA,4365.13,"Maruyama Coffee Co., Ltd.",TRUE,FALSE,TRUE,TRUE,NA,NA,not testable,matched: process group and rank,NA,TRUE,reported,Honey / pulped natural,Conventional,NA,NA,NA,NA,NA,NA,FALSE,FALSE
56f3d93e6d53724a,2018,COE Natural,Brazil,2018,COE,NA,2a,92.06,Fazenda São Pedro,Robson Vilela Martins,Natural,Catucaí Amarelo,Mantiqueira de Minas,https://allianceforcoffeeexcellence.org/brazil-naturals-2018/,FALSE,Natural,reported process,2A,2,fazenda sao pedro,robson vilela martins,56f3d93e6d53724a|COE|NA|2,56f3d93e6d53724a|COE|NA|2A,2A,20.3,NA,9398.29,HoneyCoffee (Izaki Coffee Co. Ltd),TRUE,FALSE,TRUE,TRUE,NA,NA,not testable,matched: process group and rank,NA,TRUE,reported,Natural,Conventional,NA,NA,NA,NA,NA,NA,FALSE,FALSE
d1543b65c7f3dffe,2018,COE Pulped Natural,Brazil,2018,COE,NA,2a,91.36,Sitio Fortaleza,Reinaldo Garcia dos Santos,Pulped Natural,Catucaí 785/15,Matas de Minas,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2018/,FALSE,Honey / pulped natural,reported process,2A,2,sitio fortaleza,reinaldo garcia dos santos,d1543b65c7f3dffe|COE|NA|2,d1543b65c7f3dffe|COE|NA|2A,2A,8.8,NA,3492.1,"Maruyama Coffee Co., Ltd.",TRUE,FALSE,TRUE,TRUE,NA,NA,not testable,matched: process group and rank,NA,TRUE,reported,Honey / pulped natural,Conventional,NA,NA,NA,NA,NA,NA,FALSE,FALSE
56f3d93e6d53724a,2018,COE Natural,Brazil,2018,COE,NA,2a,92.06,Fazenda São Pedro,Robson Vilela Martins,Natural,Catucaí Amarelo,Mantiqueira de Minas,https://allianceforcoffeeexcellence.org/brazil-naturals-2018/,FALSE,Natural,reported process,2A,2,fazenda sao pedro,robson vilela martins,56f3d93e6d53724a|COE|NA|2,56f3d93e6d53724a|COE|NA|2B,2B,20.4,NA,8095.33,"Time’s Club (Japan), Coffee Libre (South Korea), Valley Coffee Roasters (China)",TRUE,FALSE,TRUE,TRUE,NA,NA,not testable,matched: process group and rank,NA,TRUE,reported,Natural,Conventional,NA,NA,NA,NA,NA,NA,FALSE,FALSE
d1543b65c7f3dffe,2018,COE Pulped Natural,Brazil,2018,COE,NA,2a,91.36,Sitio Fortaleza,Reinaldo Garcia dos Santos,Pulped Natural,Catucaí 785/15,Matas de Minas,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2018/,FALSE,Honey / pulped natural,reported process,2A,2,sitio fortaleza,reinaldo garcia dos santos,d1543b65c7f3dffe|COE|NA|2,d1543b65c7f3dffe|COE|NA|2B,2B,8.1,NA,2678.59,Taresso Artisan Coffee Roasters,TRUE,FALSE,TRUE,TRUE,NA,NA,not testable,matched: process group and rank,NA,TRUE,reported,Honey / pulped natural,Conventional,NA,NA,NA,NA,NA,NA,FALSE,FALSE
56f3d93e6d53724a,2018,COE Natural,Brazil,2018,COE,NA,20,88.32,Sítio Mandioca,Ronaldo Reis Madeira,Natural,Catuaí Vermelho,Sul de Minas,https://allianceforcoffeeexcellence.org/brazil-naturals-2018/,FALSE,Natural,reported process,20,20,sitio mandioca,ronaldo reis madeira,56f3d93e6d53724a|COE|NA|20,56f3d93e6d53724a|COE|NA|20,20,5.5,NA,6547.75,Honu Kato Coffee Inc.,TRUE,FALSE,TRUE,TRUE,NA,NA,not testable,matched: process group and rank,NA,TRUE,reported,Natural,Conventional,NA,NA,NA,NA,NA,NA,FALSE,FALSE
d1543b65c7f3dffe,2018,COE Pulped Natural,Brazil,2018,COE,NA,20,87.19,Sítio Sumidouro,Euclides Antônio de Novais,Pulped Natural,Catuaí 144,Chapada Diamantina,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2018/,FALSE,Honey / pulped natural,reported process,20,20,sitio sumidouro,euclides antonio de novais,d1543b65c7f3dffe|COE|NA|20,d1543b65c7f3dffe|COE|NA|20,20,5.5,NA,7275.24,"Wataru & Co.,Ltd.",TRUE,FALSE,TRUE,TRUE,NA,NA,not testable,matched: process group and rank,NA,TRUE,reported,Honey / pulped natural,Conventional,NA,NA,NA,NA,NA,NA,FALSE,FALSE
56f3d93e6d53724a,2018,COE Natural,Brazil,2018,COE,NA,21,88.21,Fazenda Claudio,Vitor Marcelo Queiroz Barbosa,Natural,Catuai Amarelo 62,Cerrado Mineiro,https://allianceforcoffeeexcellence.org/brazil-naturals-2018/,FALSE,Natural,reported process,21,21,fazenda claudio,vitor marcelo queiroz barbosa,56f3d93e6d53724a|COE|NA|21,56f3d93e6d53724a|COE|NA|21,21,5.9,NA,4682.59,SOL PANAMBY SPECIALTY COFFEES,TRUE,FALSE,TRUE,TRUE,NA,NA,not testable,matched: process group and rank,NA,TRUE,reported,Natural,Conventional,NA,NA,NA,NA,NA,NA,FALSE,FALSE
d1543b65c7f3dffe,2018,COE Pulped Natural,Brazil,2018,COE,NA,21,87,Sitio Cafundó,Giliarde Torres de Oliveira,Pulped Natural,Catuaí 144,Chapada Diamantina,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2018/,FALSE,Honey / pulped natural,reported process,21,21,sitio cafundo,giliarde torres de oliveira,d1543b65c7f3dffe|COE|NA|21,d1543b65c7f3dffe|COE|NA|21,21,5.5,NA,4365.13,Honu Kato Coffee Inc.,TRUE,FALSE,TRUE,TRUE,NA,NA,not testable,matched: process group and rank,NA,TRUE,reported,Honey / pulped natural,Conventional,NA,NA,NA,NA,NA,NA,FALSE,FALSE
