country,year,rank,farm,process_group,process,variety,process_family,source_url
El Salvador,2019,17,COLOMBIA,NA,NATURAL,PACAMARA,Natural,https://allianceforcoffeeexcellence.org/el-salvador-2019/
El Salvador,2019,18,SAN ANDRES,NA,NATURAL,PACAMARA,Natural,https://allianceforcoffeeexcellence.org/el-salvador-2019/
El Salvador,2019,19,HIMALAYA,NA,NATURAL,PACAMARA,Natural,https://allianceforcoffeeexcellence.org/el-salvador-2019/
El Salvador,2019,20,EL DERRUMBO,NA,WASHED,PACAMARA,Washed,https://allianceforcoffeeexcellence.org/el-salvador-2019/
El Salvador,2019,21,LAS VENTANAS,NA,HONEY,PACAMARA,Honey / pulped natural,https://allianceforcoffeeexcellence.org/el-salvador-2019/
El Salvador,2019,22,LOS PINOS,NA,HONEY,PACAMARA,Honey / pulped natural,https://allianceforcoffeeexcellence.org/el-salvador-2019/
El Salvador,2019,23,SAN PABLO,NA,WASHED,BOURBON,Washed,https://allianceforcoffeeexcellence.org/el-salvador-2019/
El Salvador,2019,25,LAS NINFAS,NA,NATURAL,PACAMARA,Natural,https://allianceforcoffeeexcellence.org/el-salvador-2019/
El Salvador,2021,2a,El Conacaste,NA,Natural,Gesha,Natural,https://allianceforcoffeeexcellence.org/el-salvador-2021/
El Salvador,2021,3a,Santa Elena,NA,Washed,Gesha,Washed,https://allianceforcoffeeexcellence.org/el-salvador-2021/
El Salvador,2021,4,Las Ventanas,NA,Natural,Pacamara,Natural,https://allianceforcoffeeexcellence.org/el-salvador-2021/
El Salvador,2021,5,Benasque,NA,Natural,Bourbon,Natural,https://allianceforcoffeeexcellence.org/el-salvador-2021/
El Salvador,2021,6,La Pacaya,NA,Natural,Gesha,Natural,https://allianceforcoffeeexcellence.org/el-salvador-2021/
El Salvador,2021,7,Tres Pozos,NA,Natural,Pacamara,Natural,https://allianceforcoffeeexcellence.org/el-salvador-2021/
El Salvador,2021,9,La Libertad,NA,Natural,Bourbon/Kenya,Natural,https://allianceforcoffeeexcellence.org/el-salvador-2021/
El Salvador,2021,10,La Esperanza,NA,Honey,Bernardina,Honey / pulped natural,https://allianceforcoffeeexcellence.org/el-salvador-2021/
El Salvador,2021,12,Santa Rosa,NA,Honey,Pacamara,Honey / pulped natural,https://allianceforcoffeeexcellence.org/el-salvador-2021/
El Salvador,2021,13,Santa Juana,NA,Natural,Bernardina,Natural,https://allianceforcoffeeexcellence.org/el-salvador-2021/
El Salvador,2021,14,Don Octavio,NA,Honey,Pacamara,Honey / pulped natural,https://allianceforcoffeeexcellence.org/el-salvador-2021/
El Salvador,2021,15,Los Pozos,NA,Washed,Pacamara,Washed,https://allianceforcoffeeexcellence.org/el-salvador-2021/
El Salvador,2021,16,El Milagro,NA,Natural,Gesha,Natural,https://allianceforcoffeeexcellence.org/el-salvador-2021/
El Salvador,2021,17,La Montañita,NA,Washed,Pacamara,Washed,https://allianceforcoffeeexcellence.org/el-salvador-2021/
El Salvador,2021,18,El Aguila,NA,Natural,SL-34,Natural,https://allianceforcoffeeexcellence.org/el-salvador-2021/
