country,year,base_process,entries,total_entries,share
Costa Rica,2022,Washed,5,22,0.22727272727272727
Costa Rica,2023,Honey / pulped natural,7,30,0.23333333333333334
Costa Rica,2023,Natural,11,30,0.36666666666666664
Costa Rica,2023,Not reported,6,30,0.2
Costa Rica,2023,Washed,6,30,0.2
Costa Rica,2024,Honey / pulped natural,10,30,0.3333333333333333
Costa Rica,2024,Natural,6,30,0.2
Costa Rica,2024,Not reported,6,30,0.2
Costa Rica,2024,Washed,8,30,0.26666666666666666
Costa Rica,2025,Honey / pulped natural,4,20,0.2
Costa Rica,2025,Natural,6,20,0.3
Costa Rica,2025,Washed,10,20,0.5
Ecuador,2021,Honey / pulped natural,6,23,0.2608695652173913
Ecuador,2021,Natural,5,23,0.21739130434782608
Ecuador,2021,Washed,12,23,0.5217391304347826
Ecuador,2022,Honey / pulped natural,1,18,0.05555555555555555
Ecuador,2022,Natural,4,18,0.2222222222222222
Ecuador,2022,Washed,13,18,0.7222222222222222
Ecuador,2023,Natural,7,16,0.4375
Ecuador,2023,Washed,9,16,0.5625
El Salvador,2018,Honey / pulped natural,13,38,0.34210526315789475
El Salvador,2018,Natural,13,38,0.34210526315789475
El Salvador,2018,Washed,12,38,0.3157894736842105
El Salvador,2019,Honey / pulped natural,9,25,0.36
El Salvador,2019,Natural,9,25,0.36
El Salvador,2019,Washed,7,25,0.28
El Salvador,2021,Honey / pulped natural,6,24,0.25
El Salvador,2021,Natural,13,24,0.5416666666666666
El Salvador,2021,Not reported,1,24,0.041666666666666664
El Salvador,2021,Washed,4,24,0.16666666666666666
El Salvador,2022,Honey / pulped natural,2,27,0.07407407407407407
El Salvador,2022,Natural,20,27,0.7407407407407407
El Salvador,2022,Washed,5,27,0.18518518518518517
El Salvador,2023,Honey / pulped natural,6,30,0.2
El Salvador,2023,Natural,19,30,0.6333333333333333
El Salvador,2023,Washed,5,30,0.16666666666666666
El Salvador,2024,Honey / pulped natural,6,30,0.2
El Salvador,2024,Natural,16,30,0.5333333333333333
El Salvador,2024,Washed,8,30,0.26666666666666666
El Salvador,2025,Honey / pulped natural,6,29,0.20689655172413793
El Salvador,2025,Natural,18,29,0.6206896551724138
El Salvador,2025,Washed,5,29,0.1724137931034483
Ethiopia,2021,Honey / pulped natural,1,30,0.03333333333333333
Ethiopia,2021,Natural,23,30,0.7666666666666667
Ethiopia,2021,Not reported,5,30,0.16666666666666666
Ethiopia,2021,Washed,1,30,0.03333333333333333
Ethiopia,2022,Natural,26,30,0.8666666666666667
Ethiopia,2022,Not reported,3,30,0.1
Ethiopia,2022,Washed,1,30,0.03333333333333333
Ethiopia,2024,Natural,27,27,1
Guatemala,2018,Honey / pulped natural,4,34,0.11764705882352941
Guatemala,2018,Natural,6,34,0.17647058823529413
Guatemala,2018,Washed,24,34,0.7058823529411765
Guatemala,2019,Natural,3,20,0.15
Guatemala,2019,Washed,17,20,0.85
Guatemala,2021,Natural,8,28,0.2857142857142857
Guatemala,2021,Washed,20,28,0.7142857142857143
Guatemala,2022,Honey / pulped natural,3,30,0.1
Guatemala,2022,Natural,11,30,0.36666666666666664
Guatemala,2022,Washed,16,30,0.5333333333333333
Guatemala,2023,Honey / pulped natural,1,28,0.03571428571428571
Guatemala,2023,Natural,7,28,0.25
Guatemala,2023,Washed,20,28,0.7142857142857143
Guatemala,2024,Honey / pulped natural,3,28,0.10714285714285714
Guatemala,2024,Natural,9,28,0.32142857142857145
Guatemala,2024,Washed,16,28,0.5714285714285714
Guatemala,2025,Honey / pulped natural,2,30,0.06666666666666667
Guatemala,2025,Natural,11,30,0.36666666666666664
Guatemala,2025,Washed,17,30,0.5666666666666667
Honduras,2018,Honey / pulped natural,3,36,0.08333333333333333
Honduras,2018,Natural,2,36,0.05555555555555555
Honduras,2018,Washed,31,36,0.8611111111111112
Honduras,2019,Honey / pulped natural,3,30,0.1
Honduras,2019,Natural,4,30,0.13333333333333333
Honduras,2019,Not reported,1,30,0.03333333333333333
Honduras,2019,Washed,22,30,0.7333333333333333
Honduras,2021,Honey / pulped natural,2,25,0.08
Honduras,2021,Natural,6,25,0.24
Honduras,2021,Washed,17,25,0.68
Honduras,2022,Honey / pulped natural,5,25,0.2
Honduras,2022,Natural,10,25,0.4
Honduras,2022,Washed,10,25,0.4
Honduras,2023,Honey / pulped natural,4,30,0.13333333333333333
Honduras,2023,Natural,7,30,0.23333333333333334
Honduras,2023,Washed,19,30,0.6333333333333333
Honduras,2024,Honey / pulped natural,4,29,0.13793103448275862
Honduras,2024,Natural,9,29,0.3103448275862069
