event_id,event_name,event_type,country,year,program,process_group,rank,score,farm,producer,process,variety,region,source_url,swap_process_variety,process_label_status,process_family,base_process,innovation_class,experimental_method,process_classification_source,rank_key,entry_rank,farm_key,producer_key,entry_key,experimental_technology,first_observed_year_country,last_observed_year_country,left_censored_at_baseline,appearance_after_baseline,observed_again_later,first_observed_experimental_entry,reproduced_experimental_entry
56f3d93e6d53724a,2018,COE Natural,Brazil,2018,COE,NA,2a,92.06,Fazenda São Pedro,Robson Vilela Martins,Natural,Catucaí Amarelo,Mantiqueira de Minas,https://allianceforcoffeeexcellence.org/brazil-naturals-2018/,FALSE,reported,Natural,Natural,Conventional,NA,reported process,2A,2,fazenda sao pedro,robson vilela martins,56f3d93e6d53724a|COE|NA|2,NA,NA,NA,NA,NA,NA,FALSE,FALSE
d1543b65c7f3dffe,2018,COE Pulped Natural,Brazil,2018,COE,NA,2a,91.36,Sitio Fortaleza,Reinaldo Garcia dos Santos,Pulped Natural,Catucaí 785/15,Matas de Minas,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2018/,FALSE,reported,Honey / pulped natural,Honey / pulped natural,Conventional,NA,reported process,2A,2,sitio fortaleza,reinaldo garcia dos santos,d1543b65c7f3dffe|COE|NA|2,NA,NA,NA,NA,NA,NA,FALSE,FALSE
56f3d93e6d53724a,2018,COE Natural,Brazil,2018,COE,NA,20,88.32,Sítio Mandioca,Ronaldo Reis Madeira,Natural,Catuaí Vermelho,Sul de Minas,https://allianceforcoffeeexcellence.org/brazil-naturals-2018/,FALSE,reported,Natural,Natural,Conventional,NA,reported process,20,20,sitio mandioca,ronaldo reis madeira,56f3d93e6d53724a|COE|NA|20,NA,NA,NA,NA,NA,NA,FALSE,FALSE
d1543b65c7f3dffe,2018,COE Pulped Natural,Brazil,2018,COE,NA,20,87.19,Sítio Sumidouro,Euclides Antônio de Novais,Pulped Natural,Catuaí 144,Chapada Diamantina,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2018/,FALSE,reported,Honey / pulped natural,Honey / pulped natural,Conventional,NA,reported process,20,20,sitio sumidouro,euclides antonio de novais,d1543b65c7f3dffe|COE|NA|20,NA,NA,NA,NA,NA,NA,FALSE,FALSE
56f3d93e6d53724a,2018,COE Natural,Brazil,2018,COE,NA,21,88.21,Fazenda Claudio,Vitor Marcelo Queiroz Barbosa,Natural,Catuai Amarelo 62,Cerrado Mineiro,https://allianceforcoffeeexcellence.org/brazil-naturals-2018/,FALSE,reported,Natural,Natural,Conventional,NA,reported process,21,21,fazenda claudio,vitor marcelo queiroz barbosa,56f3d93e6d53724a|COE|NA|21,NA,NA,NA,NA,NA,NA,FALSE,FALSE
d1543b65c7f3dffe,2018,COE Pulped Natural,Brazil,2018,COE,NA,21,87,Sitio Cafundó,Giliarde Torres de Oliveira,Pulped Natural,Catuaí 144,Chapada Diamantina,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2018/,FALSE,reported,Honey / pulped natural,Honey / pulped natural,Conventional,NA,reported process,21,21,sitio cafundo,giliarde torres de oliveira,d1543b65c7f3dffe|COE|NA|21,NA,NA,NA,NA,NA,NA,FALSE,FALSE
56f3d93e6d53724a,2018,COE Natural,Brazil,2018,COE,NA,22,88.15,Fazenda Vitória,Lissa Fukuda Marra,Natural,Maragogipe,Cerrado Mineiro,https://allianceforcoffeeexcellence.org/brazil-naturals-2018/,FALSE,reported,Natural,Natural,Conventional,NA,reported process,22,22,fazenda vitoria,lissa fukuda marra,56f3d93e6d53724a|COE|NA|22,NA,NA,NA,NA,NA,NA,FALSE,FALSE
d1543b65c7f3dffe,2018,COE Pulped Natural,Brazil,2018,COE,NA,22,87,Sítio Caminho da Serra,Paulo Henrique Miranda,Pulped Natural,Catuai 44,Matas de Minas,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2018/,FALSE,reported,Honey / pulped natural,Honey / pulped natural,Conventional,NA,reported process,22,22,sitio caminho da serra,paulo henrique miranda,d1543b65c7f3dffe|COE|NA|22,NA,NA,NA,NA,NA,NA,FALSE,FALSE
56f3d93e6d53724a,2018,COE Natural,Brazil,2018,COE,NA,23,88.09,Chácara Capãozinho,Glayco Barbosa,Natural,Catuaí 144,Chapada Diamantina,https://allianceforcoffeeexcellence.org/brazil-naturals-2018/,FALSE,reported,Natural,Natural,Conventional,NA,reported process,23,23,chacara capaozinho,glayco barbosa,56f3d93e6d53724a|COE|NA|23,NA,NA,NA,NA,NA,NA,FALSE,FALSE
d1543b65c7f3dffe,2018,COE Pulped Natural,Brazil,2018,COE,NA,23,87,Fazenda Paraíso,Antônio Fortes Bustamante,Pulped Natural,Bourbon Amarelo,Mantiqueira de Minas,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2018/,FALSE,reported,Honey / pulped natural,Honey / pulped natural,Conventional,NA,reported process,23,23,fazenda paraiso,antonio fortes bustamante,d1543b65c7f3dffe|COE|NA|23,NA,NA,NA,NA,NA,NA,FALSE,FALSE
56f3d93e6d53724a,2018,COE Natural,Brazil,2018,COE,NA,24,87.91,Sitio Santo Antonio,Vicente Vanildo Do Nascimento,Natural,Catucaí Amarelo,Mantiqueira de Minas,https://allianceforcoffeeexcellence.org/brazil-naturals-2018/,FALSE,reported,Natural,Natural,Conventional,NA,reported process,24,24,sitio santo antonio,vicente vanildo do nascimento,56f3d93e6d53724a|COE|NA|24,NA,NA,NA,NA,NA,NA,FALSE,FALSE
d1543b65c7f3dffe,2018,COE Pulped Natural,Brazil,2018,COE,NA,24,86.92,Fazenda Caracol,Cristina Dias Sampaio Gerolimich,Pulped Natural,Catuaí,Matas de Minas,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2018/,FALSE,reported,Honey / pulped natural,Honey / pulped natural,Conventional,NA,reported process,24,24,fazenda caracol,cristina dias sampaio gerolimich,d1543b65c7f3dffe|COE|NA|24,NA,NA,NA,NA,NA,NA,FALSE,FALSE
56f3d93e6d53724a,2018,COE Natural,Brazil,2018,COE,NA,25,87.88,Fazenda Sertãozinho,Fazenda Sertãozinho LTDA.,Natural,Arara,Sul de Minas,https://allianceforcoffeeexcellence.org/brazil-naturals-2018/,FALSE,reported,Natural,Natural,Conventional,NA,reported process,25,25,fazenda sertaozinho,fazenda sertaozinho ltda,56f3d93e6d53724a|COE|NA|25,NA,NA,NA,NA,NA,NA,FALSE,FALSE
d1543b65c7f3dffe,2018,COE Pulped Natural,Brazil,2018,COE,NA,25,86.89,Fazenda Boa Vista,Flávio Roberto Carvalho Ferraz,Pulped Natural,Catuaí Amarelo,Mantiqueira de Minas,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2018/,FALSE,reported,Honey / pulped natural,Honey / pulped natural,Conventional,NA,reported process,25,25,fazenda boa vista,flavio roberto carvalho ferraz,d1543b65c7f3dffe|COE|NA|25,NA,NA,NA,NA,NA,NA,FALSE,FALSE
56f3d93e6d53724a,2018,COE Natural,Brazil,2018,COE,NA,26,87.79,Sitio Alto da Serra,Domiciano Paulo Gonçalves,Natural,Catuaí Vermelho,Mantiqueira de Minas,https://allianceforcoffeeexcellence.org/brazil-naturals-2018/,FALSE,reported,Natural,Natural,Conventional,NA,reported process,26,26,sitio alto da serra,domiciano paulo goncalves,56f3d93e6d53724a|COE|NA|26,NA,NA,NA,NA,NA,NA,FALSE,FALSE
