country,year,event_name,event_type,source_url,accessed_at,active,notes
Costa Rica,2017,2017,COE,https://allianceforcoffeeexcellence.org/costa-rica-coe-2017/,2026-09-13,TRUE,Official ACE historical results page
Costa Rica,2018,2018,COE,https://allianceforcoffeeexcellence.org/costa-rica-2018/,2026-09-13,TRUE,Official ACE historical results page
Costa Rica,2019,2019,COE,https://allianceforcoffeeexcellence.org/costa-rica-2019/,2026-09-13,TRUE,Official ACE historical results page
Costa Rica,2020,Costa Rica 2020,COE,https://allianceforcoffeeexcellence.org/costa-rica-2020/,2026-09-11,TRUE,Official ACE historical results page
Costa Rica,2021,Costa Rica 2021,COE,https://allianceforcoffeeexcellence.org/costa-rica-2021/,2026-09-11,TRUE,Official ACE historical results page
Costa Rica,2022,Costa Rica 2022,COE,https://allianceforcoffeeexcellence.org/costa-rica-2022/,2026-09-11,TRUE,Official ACE historical results page
Costa Rica,2023,Costa Rica 2023,COE,https://allianceforcoffeeexcellence.org/costa-rica-2023/,2026-09-11,TRUE,Official ACE historical results page
Costa Rica,2024,Costa Rica 2024,COE,https://allianceforcoffeeexcellence.org/costa-rica-2024/,2026-09-11,TRUE,Official ACE historical results page
Costa Rica,2025,Costa Rica 2025,COE,https://allianceforcoffeeexcellence.org/costa-rica-2025/,2026-09-11,TRUE,Official ACE historical results page
Ecuador,2021,Ecuador 2021,COE,https://allianceforcoffeeexcellence.org/ecuador-2021/,2026-09-11,TRUE,Official ACE historical results page
Ecuador,2022,Ecuador 2022,COE,https://allianceforcoffeeexcellence.org/ecuador-2022/,2026-09-11,TRUE,Official ACE historical results page
Ecuador,2023,Ecuador 2023,COE,https://allianceforcoffeeexcellence.org/ecuador-2023/,2026-09-11,TRUE,Official ACE historical results page
El Salvador,2003,2003,COE,https://allianceforcoffeeexcellence.org/el-salvador-2003/,2026-09-13,TRUE,Official ACE historical results page
El Salvador,2004,2004,COE,https://allianceforcoffeeexcellence.org/el-salvador-2004/,2026-09-13,TRUE,Official ACE historical results page
El Salvador,2005,2005,COE,https://allianceforcoffeeexcellence.org/el-salvador-2005/,2026-09-13,TRUE,Official ACE historical results page
El Salvador,2006,2006,COE,https://allianceforcoffeeexcellence.org/el-salvador-2006/,2026-09-13,TRUE,Official ACE historical results page
El Salvador,2007,2007,COE,https://allianceforcoffeeexcellence.org/el-salvador-2007/,2026-09-13,TRUE,Official ACE historical results page
El Salvador,2008,2008,COE,https://allianceforcoffeeexcellence.org/el-salvador-2008/,2026-09-13,TRUE,Official ACE historical results page
El Salvador,2009,2009,COE,https://allianceforcoffeeexcellence.org/el-salvador-2009/,2026-09-13,TRUE,Official ACE historical results page
El Salvador,2010,2010,COE,https://allianceforcoffeeexcellence.org/el-salvador-2010/,2026-09-13,TRUE,Official ACE historical results page
El Salvador,2011,2011,COE,https://allianceforcoffeeexcellence.org/el-salvador-2011/,2026-09-13,TRUE,Official ACE historical results page
El Salvador,2012,2012,COE,https://allianceforcoffeeexcellence.org/el-salvador-2012/,2026-09-13,TRUE,Official ACE historical results page
El Salvador,2013,2013,COE,https://allianceforcoffeeexcellence.org/el-salvador-2013/,2026-09-13,TRUE,Official ACE historical results page
El Salvador,2014,2014,COE,https://allianceforcoffeeexcellence.org/el-salvador-2014/,2026-09-13,TRUE,Official ACE historical results page
El Salvador,2015,2015,COE,https://allianceforcoffeeexcellence.org/el-salvador-2015/,2026-09-13,TRUE,Official ACE historical results page
El Salvador,2017,2017,COE,https://allianceforcoffeeexcellence.org/el-salvador-2017/,2026-09-13,TRUE,Official ACE historical results page
El Salvador,2018,2018,COE,https://allianceforcoffeeexcellence.org/el-salvador-2018/,2026-09-13,TRUE,Official ACE historical results page
El Salvador,2019,2019,COE,https://allianceforcoffeeexcellence.org/el-salvador-2019/,2026-09-13,TRUE,Official ACE historical results page
El Salvador,2020,El Salvador 2020,COE,https://allianceforcoffeeexcellence.org/el-salvador-2020/,2026-09-11,TRUE,Official ACE historical results page
El Salvador,2021,El Salvador 2021,COE,https://allianceforcoffeeexcellence.org/el-salvador-2021/,2026-09-11,TRUE,Official ACE historical results page
El Salvador,2022,El Salvador 2022,COE,https://allianceforcoffeeexcellence.org/el-salvador-2022/,2026-09-11,TRUE,Official ACE historical results page
